Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,CA1-LEAF1A,Ethernet1,spine,CA1-SPINE1,Ethernet1,True
l3leaf,CA1-LEAF1A,Ethernet2,spine,CA1-SPINE2,Ethernet1,True
l3leaf,CA1-LEAF1A,Ethernet6,network_port,HOST1,,True
l3leaf,CA1-LEAF1A,Ethernet7,mlag_peer,CA1-LEAF1B,Ethernet7,True
l3leaf,CA1-LEAF1A,Ethernet8,mlag_peer,CA1-LEAF1B,Ethernet8,True
l3leaf,CA1-LEAF1A,Ethernet9,network_port,,,True
l3leaf,CA1-LEAF1B,Ethernet1,spine,CA1-SPINE1,Ethernet2,True
l3leaf,CA1-LEAF1B,Ethernet2,spine,CA1-SPINE2,Ethernet2,True
l3leaf,CA1-LEAF1B,Ethernet6,network_port,HOST1,,True
l3leaf,CA1-LEAF1B,Ethernet7,mlag_peer,CA1-LEAF1A,Ethernet7,True
l3leaf,CA1-LEAF1B,Ethernet8,mlag_peer,CA1-LEAF1A,Ethernet8,True
l3leaf,CA1-LEAF1B,Ethernet9,network_port,,,True
spine,CA1-SPINE1,Ethernet1,l3leaf,CA1-LEAF1A,Ethernet1,True
spine,CA1-SPINE1,Ethernet2,l3leaf,CA1-LEAF1B,Ethernet1,True
spine,CA1-SPINE2,Ethernet1,l3leaf,CA1-LEAF1A,Ethernet2,True
spine,CA1-SPINE2,Ethernet2,l3leaf,CA1-LEAF1B,Ethernet2,True
